category,claim_id,claim_text,checkworthiness_prob,checkability_score,verifiability_score,harm_score,is_viral,total_engagement,total_tweets,checkability_reasoning,verifiability_reasoning,harm_reasoning
HIGH_CONFIDENCE_POSITIVE,512cdecc-6c6c-408d-b432-66967a55190e,Donald Trump has 3 fake Nobel Peace Prize nominations and 0 wins. Barack Obama is a real winner of the Nobel Peace Prize.,0.8478297114372253,95.0,95.0,85.0,true,2,8,The claim can be verified by checking the records of Nobel Peace Prize nominations and winners.,Public records and Nobel Prize databases can confirm the number of nominations and wins for both individuals.,Claim could deepen political divisions and undermine trust in institutions.
HIGH_CONFIDENCE_POSITIVE,88a4e13c-497c-400b-9c70-80457baef894,Trump calls for big COVID-19 stimulus but McConnell disagrees,0.797764778137207,95.0,95.0,90.0,true,902,15,"The claim asserts specific actions and positions taken by Trump and McConnell, which can be verified through public statements and records.","Public statements by political figures are typically documented in news reports, official transcripts, or social media posts, which are accessible to the public.",Lacks elements to cause significant harm if widely believed
HIGH_CONFIDENCE_POSITIVE,42e0714d-59c8-41b7-97e6-0e9324e19d73,"Putra bungsu Presiden Amerika Serikat, Barron Trump dilaporkan positif terinfeksi Covid-19 namun tidak mempunyai gejala.",0.8442632913589477,95.0,85.0,85.0,true,9,6,"The claim asserts a specific event (Barron Trump testing positive for Covid-19) and a specific condition (lack of symptoms), both of which can be verified against medical records or official statements.",Public records and statements from the White House or the Trump family could confirm or refute this claim.,Potential to deepen political divisions and exploit COVID-19 fears.
HIGH_CONFIDENCE_POSITIVE,379c7917-7c79-4abb-ba1e-e05d5f0face9,350% more people watched Biden on ABC than Trump on NBC,0.8403910636901855,95.0,90.0,85.0,true,14,11,"The claim provides a specific, quantifiable assertion about the number of viewers for two specific events, which can be verified against viewership data.","Ratings data for television broadcasts is typically tracked and publicly reported by organizations like Nielsen, and these reports could confirm or refute the claim.",Claim could deepen political divisions and undermine trust in media institutions.
HIGH_CONFIDENCE_POSITIVE,7e6b64d7-62dc-4e31-a43c-ab59db5bc263,"Les parlementaires républicains demandent au FBI d'avouer s'il détenait le PC contenant les emails de Biden fils lors de l'impeachment contre Trump, affirmant que l'agence a commis une erreur de jugement flagrante en n'informant pas la Maison Blanche.",0.8386335372924805,95.0,85.0,85.0,true,146,10,"The claim can be verified by checking if Republican parliamentarians made a demand to the FBI, and if the FBI had the computer containing Biden's son's emails during Trump's impeachment.","Public records, statements from the FBI, and congressional documents could confirm or refute whether Republican parliamentarians made such a demand and whether the FBI had the computer containing Hunter Biden's emails during Trump's impeachment.",Claim could deepen political divisions and motivate actions against institutions.
HIGH_CONFIDENCE_POSITIVE,3fb9e3c1-5cfb-4517-931f-41c6f5a12e16,"On Feb. 24, Trump's economic team privately addressed the Hoover Institution and implied that a Covid-19 outbreak could prove worse than advisers were signaling to the public. Aides appeared to be giving wealthy party donors an early warning.",0.8365026116371155,95.0,85.0,85.0,true,1,2,"The claim can be verified by checking records of the Hoover Institution's events on Feb. 24, and comparing the statements made to the public with those made to donors.","The claim refers to a private meeting and the private statements made by Trump's economic team. Such private conversations are not typically documented or accessible to the public, making it difficult to verify the claim.",The claim could significantly harm societal trust and cohesion if widely believed.
HIGH_CONFIDENCE_POSITIVE,7f54be86-873c-4f2b-8bda-afe8bb178a64,"Emails that allegedly belong to Hunter Biden, son of presidential candidate Joe Biden, were published and could demonstrate an accusation by Donald Trump's campaign about alleged corruption of Biden with Ukraine.",0.8314185619354248,85.0,95.0,85.0,true,1185,84,The claim can be verified by checking if emails were published and if they contain evidence related to the accusation.,"Publicly available data sources, such as news archives, and reputable sources, such as fact-checking websites, could confirm or refute the publication of the emails and the specific accusations made by Donald Trump's campaign.","High potential for social fragmentation and exploitativeness, moderate believability."
HIGH_CONFIDENCE_POSITIVE,e1499381-c178-4bd8-89d0-ca86c6b65d04,Donald Trump's teenage son caught coronavirus.,0.7805460810661315,95.0,95.0,90.0,true,33,24,The claim can be verified by checking if Donald Trump has a teenage son and if that son tested positive for coronavirus.,"Public health records, news reports, and statements from the Trump family could confirm or refute this claim.",Lack of actionable content and low exploitativeness make it low risk.
HIGH_CONFIDENCE_POSITIVE,c84c7df9-e6c9-47a2-9c57-2d4af233ffa4,There is no evidence of widespread voter fraud.,0.8296840667724609,95.0,95.0,85.0,true,5,15,The claim makes a factual assertion about the existence of evidence that can be verified or refuted.,"Election records, audits, and reports from government agencies and non-partisan organizations can be used to verify or refute claims of voter fraud.",Claim could deepen divisions over election integrity and exploit fears of manipulation.
HIGH_CONFIDENCE_POSITIVE,6bfa678c-4372-4632-b9de-d2a482632892,Trump says he’s done more for black Americans than any other president.,0.8281452655792236,95.0,95.0,85.0,true,27,16,The claim makes a factual assertion about the actions of a specific individual that can be verified against evidence.,"Public records of Trump's statements and policies exist, and his claims can be compared to the actions of other presidents using historical data.","Claim could deepen political and racial divisions, exploit existing tensions."
NEGATIVE_RECOMMENDATION,5e51f7a6-ec58-47aa-ac5f-50e33ef819bd,"Democrats are better for the economy, Republicans are market friendly",0.4693530797958374,80.0,80.0,80.0,true,20,6,"The claim contains two parts, one of which is an opinion ('Democrats are better for the economy') and the other is a vague statement ('Republicans are market friendly').","The claim involves subjective interpretations of political parties' economic policies and their effects, which cannot be objectively verified using available evidence.",Claim could deepen political divisions and undermine trust in opposing parties.
NEGATIVE_RECOMMENDATION,f1344f86-50e5-4e9a-aaa4-7e11093e6f54,a vote for Biden is a vote for China,0.4519500434398651,80.0,80.0,90.0,true,121,57,"The claim is an opinion and a vague statement, as it does not specify what 'a vote for China' means.",The claim is subjective and based on political opinion. It cannot be verified or refuted with public data sources or accessible evidence.,High potential for societal harm due to polarization and exploitation of political fears
NEGATIVE_RECOMMENDATION,7a2eeb36-c7bb-4bbf-81bd-e3ef32fedfad,There is chance we'll get stimulus before election,0.3634424865245819,90.0,80.0,90.0,true,0,1,The claim contains a prediction and a vague statement.,The claim refers to a future event that has not yet occurred and may not be documented or reported until after the fact.,Lacks elements to cause significant harm if widely believed.
NEGATIVE_RECOMMENDATION,903acd0a-5f73-4484-ae8f-eec6cd3053eb,"If the Democrats gain control over the Senate, Bernie Sanders will be the Chairman of the Subcommittee on Health.",0.41862202286720274,95.0,85.0,75.0,true,2659,34,The claim can be verified by checking if Bernie Sanders becomes the Chairman of the Subcommittee on Health if the Democrats gain control over the Senate.,Public records and official announcements can confirm if Bernie Sanders is appointed as the Chairman of the Subcommittee on Health.,"Lacks clear calls to action or exploitative elements, but could slightly deepen political divisions."
NEGATIVE_RECOMMENDATION,fb9a9cfc-f1f0-4964-a0b7-481356865ceb,"If Joe Biden starts re-establishing the Judicial Branch, he needs to go all the way not half way.",0.3611088335514069,95.0,95.0,75.0,true,96,22,"The claim contains a prediction and a vague statement, not a factual assertion that can be verified.","The claim refers to a hypothetical future action and intent, which cannot be verified with available evidence.",The claim could exacerbate political tensions and motivate political action.
NEGATIVE_RECOMMENDATION,3f5ef329-69db-43a5-9f51-be474823f004,Earn bitcoins while surfing the web,0.5327476501464844,80.0,85.0,85.0,true,20,5,The claim is vague and does not specify how or if it is possible to earn bitcoins while surfing the web.,"There are documented reports and reviews of websites and browser extensions that claim to pay users in bitcoin for surfing the web, and these can be verified through public records and user testimonials.",Claim could motivate harmful behavior if it leads to scams or malware.
NEGATIVE_RECOMMENDATION,24db19df-4ad3-4800-8e5e-31094360ce97,Trump ha hecho un gran trabajo,0.37764025926589967,95.0,95.0,80.0,true,23,6,"The claim uses the subjective term 'gran trabajo' (great job), which is an opinion and not a factual assertion that can be objectively verified.","Public statements and actions by political figures are well-documented in news archives, official records, and social media.","Potential for social fragmentation and believability, but low action spurring and moderate exploitativeness."
NEGATIVE_RECOMMENDATION,c7204412-ef48-4772-b1ba-904493656e9d,Trump could lose a debate against no one,0.38491182327270507,95.0,95.0,80.0,true,6,3,The claim is a prediction and not a factual assertion that can be verified against evidence.,"The claim is subjective and depends on personal opinions and interpretations, making it impossible to verify.","Lacks credible threat, no clear call to action, and unlikely to be taken literally."
NEGATIVE_RECOMMENDATION,0cf7cbdf-384f-4f10-81df-cb4e0e978a65,"with the incoming presidency, Biden and Harris can help the American people beat this pandemic.",0.2852340504527092,90.0,95.0,95.0,true,19,7,The claim includes a prediction ('can help') and a vague statement ('beat this pandemic') which cannot be objectively verified.,"The claim involves future actions and their effects, which are not yet documented or recorded.","The claim is positive and encouraging, unlikely to cause harm."
NEGATIVE_RECOMMENDATION,a77a45ed-a1c3-4cf6-8e7d-7bbf5916fde0,"An email said 'Dear Hunter Biden, thank you for inviting me to DC and giving an opportunity to meet your father'.",0.5176002383232117,95.0,80.0,85.0,true,3,2,"The claim asserts the existence of an email with specific content, which can be verified against evidence.","Email content can potentially be verified if the email is accessible through legal means, such as through a FOIA request, or if it has been leaked and published by a reputable source.",Potential to deepen political divisions and exploit fears about corruption.
NEGATIVE_RECOMMENDATION,5668c12d-4ab5-4bb5-8e84-13a51ba90ae2,"science does not admit opinions, only facts supported by data and evidence",0.36798591017723087,95.0,95.0,90.0,true,6,5,"The claim contains a vague statement about what 'science' does or does not admit, which cannot be objectively verified.","This claim can be verified by examining the scientific method and its principles, which are well-documented in academic literature and educational resources.",Claim is factual and does not motivate harmful behavior
NEGATIVE_RECOMMENDATION,5454f15f-b73d-45d7-8a08-c1b6495bf819,la défaite de Trump est loin d'être assurée,0.4679862082004548,95.0,95.0,80.0,true,32,9,"The claim is a prediction and opinion, not a factual assertion that can be verified against evidence.","Public polling data, election results, and political analysis from reputable sources can be used to assess the likelihood of Trump's defeat.","The claim could exacerbate political tensions and motivate political activity, especially among Trump supporters."
NEGATIVE_RECOMMENDATION,a2f2a9e5-bd59-45ec-a100-b681d462dbd3,"If Biden becomes president and the government doesn't place regulations on online media, what's left of the USA will be sold down the river.",0.42708127498626713,95.0,95.0,85.0,true,223,20,"The claim is a question and a prediction, not a factual assertion.","The claim involves a hypothetical future scenario and subjective interpretation ('sold down the river'), which cannot be verified with available evidence.",Claim could deepen political divisions and motivate action against perceived threats
NEGATIVE_RECOMMENDATION,8345c00f-4b2d-40b3-9953-bfdabc5f1df2,America is the world's super power.,0.40193599462509155,95.0,95.0,90.0,true,2,3,The claim makes a factual assertion about America's status that can be verified against evidence.,"This claim can be verified through analysis of global political, economic, and military influence data from reputable sources.","Claim is factual and widely accepted, does not motivate harmful behavior."
NEGATIVE_RECOMMENDATION,001ba222-7442-48a8-804d-badb2c78ef9c,Trump is a crook,0.5195138692855835,95.0,95.0,80.0,true,18,16,"The claim is an opinion, not a factual assertion.",The claim uses subjective language ('crook') that cannot be objectively verified.,"The claim could deepen political divisions and exploit anger, but lacks specific calls to action."
NEGATIVE_RECOMMENDATION,54cdea15-5430-4568-8a44-d8dc045954e7,Trump is a failure.,0.4387716710567474,95.0,95.0,90.0,true,26,20,The claim is an opinion and cannot be objectively verified.,"The claim is subjective and based on personal opinion, and cannot be verified with public data sources.","Lacks specific calls to action or exploitative elements, but may deepen political divisions."
NEGATIVE_RECOMMENDATION,f8be9268-7c04-4512-b8fc-09c876b552c0,Trump is the worst president in history,0.5400568902492523,95.0,95.0,80.0,true,639,45,The claim is an opinion based on subjective judgment.,The claim is subjective and based on personal opinion. There are no objective criteria to verify who the 'worst' president is.,"High potential for social fragmentation and exploitativeness, moderate believability, low action spurring"
NEGATIVE_RECOMMENDATION,0f5b07bf-8ab4-404b-8726-b8a32adacf9a,Joe Biden is a liar,0.5494066596031189,95.0,95.0,80.0,true,1251,33,"This is an opinion, not a factual assertion.","The claim is subjective and based on personal opinion, and cannot be verified with public data sources.","High potential for social fragmentation and exploitativeness, but low action spurring"
NEGATIVE_RECOMMENDATION,09425c52-65bd-4fc2-baae-b1275094868b,"",0.44507384300231934,100.0,100.0,100.0,true,37227,4433,The claim is empty and does not make a factual assertion.,"The claim is empty, so there is no information to verify.",Empty claim presents no risk.
BORDERLINE_CASE,eeb54f83-3ef9-4e22-89eb-40cbd14babef,The Biden Ukraine scandal and the Hunter Biden emails are the hottest story going and Joe Biden should have been questioned about it.,0.6636181116104126,95.0,95.0,85.0,true,9,6,"The claim contains an opinion ('the hottest story going') and a command ('Joe Biden should have been questioned'), making it not checkable.","Public records, news articles, and statements from political figures can confirm or refute the existence of the scandal and the emails.",Claim could deepen political divisions and motivate political action.
BORDERLINE_CASE,bc9e8e19-64a1-4320-8c4b-fd6fa94562f4,Bush and Trump are guilty of failing to assist a world in danger and of increasing its vulnerability in a deadly manner.,0.6523326277732849,85.0,80.0,85.0,true,7,2,The claim contains vague statements like 'failing to assist a world in danger' and 'increasing its vulnerability in a deadly manner' which are subjective and not objectively verifiable.,"The claim involves subjective interpretations of actions and intentions, which cannot be objectively verified using public data sources.",Claim could deepen political divisions and undermine trust in institutions.
BORDERLINE_CASE,a9bc2a03-684b-4072-9abc-69672a39c5e7,Colombia no esta con trump,0.6968257665634155,95.0,95.0,80.0,true,596,20,The claim is a vague statement that does not make a clear factual assertion that can be verified.,Public statements and records of diplomatic relations can confirm or refute this claim.,The claim is a simple statement without clear implications for societal harm.
BORDERLINE_CASE,1aefbcee-afc1-4da7-aec0-73fb78a6055d,Prezydent USA jest gotów osobiście zaangażować się w uzgodnienie pakietu fiskalnego i przekonanie przeciwnych ugodzie senatorów.,0.6831235527992249,95.0,85.0,80.0,true,5,5,"The claim asserts a specific action and intention of the President of the USA, which can be verified against evidence.",Public statements and actions of the U.S. President are typically documented and reported by news outlets and official White House records.,Lacks elements to cause significant harm.
BORDERLINE_CASE,af4f6fed-e056-425c-ab60-6f1c14252e8e,Joe Biden did something to Seal Team 6,0.6713640689849854,80.0,80.0,85.0,true,6,2,"The claim asserts a specific action by Joe Biden involving Seal Team 6, which can be verified or falsified through evidence.","Public records, news archives, and official statements could potentially confirm or refute specific actions taken by Joe Biden related to Seal Team 6.",Vague claim could fuel mistrust and action against Biden
BORDERLINE_CASE,ffc1e49a-59a4-4689-9261-1c7a4591f88d,"Biden was informative, truthful, there was no drama, no interrupting, arguing, demeaning behavior, and lying.",0.6097393870353699,80.0,80.0,85.0,true,193,29,"The claim contains subjective opinions and vague statements, such as 'informative', 'truthful', 'no drama', 'no interrupting', 'no arguing', 'no demeaning behavior', and 'no lying', which cannot be objectively verified.","Public records, transcripts, and media coverage of Biden's public appearances and speeches can be used to verify or refute the claim.",Claim is largely descriptive and lacks elements that could cause harm if widely believed.
BORDERLINE_CASE,edff4913-f8e7-4d80-857e-3c2dd835ede8,The coronavirus is a conspiracy by Bill Gates to control people.,0.6233081817626953,95.0,95.0,95.0,true,121,38,The claim makes a factual assertion about the origin of the coronavirus that can be verified against evidence.,"The claim involves subjective interpretation of motives and intentions, which are not accessible or verifiable through public data sources or evidence.",High potential for societal harm due to deep mistrust and fear.
BORDERLINE_CASE,19214d10-90cb-4b94-bb1e-7c1a395394cc,US-Wahl 2020: Kein direktes Duell – aber Trump und Biden treten in gut einer Viertelstunde bei konkurrierenden TV-Sendungen mit Wählern an.,0.6975149035453796,95.0,95.0,90.0,true,730,192,The claim can be verified by checking the schedules of TV broadcasts during the 2020 US election and confirming whether Trump and Biden appeared in competing TV shows within a quarter of an hour.,Public records of TV broadcasts and schedules from 2020 can confirm or refute this claim.,"The claim is a factual statement about a past event with no polarizing narratives, calls to action, or exploitation of fear/anger."
BORDERLINE_CASE,0365259d-2c2a-4fb8-9103-6bbf2a7b66cc,Chris Christie says he was wrong not to wear a mask at the White House during Amy Coney Barrett’s nomination and during debate preparation with Trump.,0.684213650226593,95.0,95.0,95.0,true,772,15,The claim can be verified by checking if Chris Christie made the statement and if the events described occurred.,"Public statements by Chris Christie can be checked against public records, news reports, and transcripts.",The claim is a personal admission and does not incite harm.
BORDERLINE_CASE,c69aabe8-dd17-455d-a160-e380c6ff6f10,Donald Trump and Joe Biden hold separate town halls instead of second presidential debate,0.6997802615165711,95.0,95.0,90.0,true,3,13,The claim can be verified by checking the schedules and events of Donald Trump and Joe Biden.,"Public records, news reports, and official debate commission statements can confirm or refute this claim.","The claim is a factual statement about a scheduling decision, lacking elements that could cause harm."
BORDERLINE_CASE,9fc7ce34-5aa8-4e19-aaf0-09eb00f31f66,Donald Trump won the debate even though it wasn't scheduled,0.7161866426467896,95.0,95.0,85.0,true,0,2,"The claim contains a factual assertion that can be checked, but the phrase 'even though it wasn't scheduled' makes the claim contradictory and therefore not checkable.",Public records and news reports can confirm whether a debate was scheduled and who the winner was declared to be.,Claim could deepen political divisions and undermine trust in democratic processes
BORDERLINE_CASE,686f0f14-b9ec-4f4c-986e-289b6fee0c17,"Donald Trump’s first term was characterized by theft, lies, corruption, and the incitement of violence. A second term could spell the end of American democracy.",0.7178483486175538,95.0,95.0,85.0,true,0,3,"The claim contains a mix of vague statements and a prediction, which cannot be objectively verified.","The claim contains subjective interpretations and opinions (e.g., 'theft', 'lies', 'corruption', 'incitement of violence', 'spell the end of American democracy') that cannot be objectively verified. Additionally, the claim about a hypothetical second term cannot be verified as it refers to a future event.","Claim is polarizing, could spur action, and is believable to many."
BORDERLINE_CASE,a783b28e-ad1c-4a89-b116-ac8737f78f0f,Biden is the darling of the CCP. A vote for Biden is a vote for China. Biden has sold us out before and will do it again if given the chance.,0.7115214586257934,95.0,80.0,90.0,true,119,9,"The claim contains opinions and predictions, such as 'Biden is the darling of the CCP' and 'Biden has sold us out before and will do it again if given the chance.' These statements cannot be objectively verified.","The claim involves subjective interpretations of political relationships and motivations, which are not practically verifiable. The phrase 'darling of the CCP' and 'sold us out' are opinion-based and cannot be confirmed or refuted with available evidence.","Claim fits polarizing narratives, could motivate political action, and exploits fears of foreign influence."
BORDERLINE_CASE,669e9350-46a2-4b66-95c3-803da0d5d40c,Trump declines to say he will bring back Attorney General Barr if he wins.,0.7364325046539306,95.0,95.0,80.0,true,1,2,"The claim is a statement about what someone declines to say, which is not objectively verifiable.",Public statements and interviews with Trump could confirm or refute this claim.,Lacks elements to spur action or exploit vulnerabilities.
BORDERLINE_CASE,fb999364-2ad0-4c77-bdee-594932eed0c3,ମୁଁ ରାଜନୀତି ଇତିହାସରେ ସବୁଠାରୁ ଖରାପ ପ୍ରାର୍ଥୀଙ୍କ ସହ ଲଢିବାକୁ ଯାଉଛି,0.5819769382476807,80.0,95.0,85.0,true,12,5,"The claim is in a language I do not understand, but it appears to be a personal statement about the speaker's intentions, which is not objectively verifiable.","The claim refers to a personal experience or intention, which is not accessible to public data sources or reputable sources.",The claim could motivate political action and deepen divisions.
BORDERLINE_CASE,c6c8c592-9d63-47a7-ae9c-92879ab85007,Trump wants to do herd immunity because he is too lazy to come up with a plan to deal with COVID and too narcissistic to listen to experts.,0.7334786534309388,95.0,95.0,85.0,true,2,2,"The claim contains opinions and subjective judgments about Trump's motivations and character, which cannot be objectively verified.","The claim refers to subjective internal states (laziness, narcissism) and unrecorded conversations, which cannot be verified with available evidence.","High potential for social fragmentation and exploitativeness, moderate believability."
BORDERLINE_CASE,d18c652b-906c-4d12-a6fe-79699679f8bd,"Trump was installed, not elected.",0.7349893093109131,95.0,80.0,85.0,true,40,10,"The claim uses the vague term 'installed' without defining what it means in this context, making it impossible to verify.","The claim uses the term 'installed' which is subjective and open to interpretation. It is not clear what specific, publicly verifiable events this claim refers to.",Claim could deepen political divisions and motivate actions against election results.
BORDERLINE_CASE,efb4bbb8-65a1-4eaa-b468-439830ca17c3,"A trade deal with the US could threaten democracy and public services, rip up food standards, and open up the NHS to US corporations.",0.7354246377944946,80.0,95.0,85.0,true,0,2,"The claim contains multiple assertions, but the dominant assertion is a prediction about future events and consequences, which cannot be objectively verified.","The claim involves specific and measurable impacts of a trade deal, which could be verified through analysis of the trade agreement text, statements from involved parties, and expert analysis of potential effects on democracy, public services, food standards, and the NHS.",Claim could deepen divisions and motivate action against trade deals.
BORDERLINE_CASE,e701c20b-bd39-468b-8491-a9ce6cf56f33,"Secret safety panels are choosing the COVID vaccines and advising Trump, Cuomo, and local mayors, and they will use the military to ensure safety.",0.72960524559021,95.0,95.0,90.0,true,7,10,"The claim asserts the existence of secret safety panels, their influence on vaccine selection, their advisory role to specific individuals, and their intended use of the military, all of which can be verified or falsified with evidence.","The claim refers to 'secret safety panels' and their interactions with specific individuals, which are not documented or accessible to the public. Additionally, the use of the military for safety measures is not publicly verifiable.","Claim fits into broader conspiracy narratives, could spur protests, and exploits fears of government control."
BORDERLINE_CASE,47054675-3c88-4b74-9dd4-1a521839e43d,"Casi todas las televisiones y radios sólo nombran a Trump para criticarle sin aclarar nada, nunca para decir algo positivo.",0.7248525381088258,85.0,80.0,85.0,true,7,3,"The claim contains subjective language ('sólo', 'nunca', 'sin aclarar nada', 'criticarle') and is an opinion about the intent and bias of media outlets.","The claim refers to the subjective experiences and perceptions of the speaker regarding media coverage, which cannot be objectively verified using public data sources.",Claim could deepen divisions over media trust and motivate avoidance of mainstream outlets.
